Current_Cycle,Core_power,Core_temp, Core_utilization, Core_frequency,Source_Id,Dst_Id,Current_Id,Flit_Type,Hop_Count,Flit_Sequence_Number,Packet_Number,Input_port,Output_port,Buffer_Packet_Count,Current_Temp,Sensor_Current,Pre_Temp,Current_mean_Temp,Pre_Mean_Temp,Running_Avg_Temp,Attack_label
500003,0.72994,58.5,0,3600,0,4,0,0,1,0,0,6,1,0.0078125,65,64.2091,65,65,65,65,1
500003,0.72994,58.49,0,3600,8,8,8,0,1,0,0,6,6,0.0078125,65,61.7814,65,65,65,32.5,1
500003,0.72994,58.5,0,3600,1,1,1,0,1,0,0,6,6,0.0078125,65,63.8848,65,65,65,21.6667,1
500003,0.72994,57.89,0,3600,9,0,9,0,1,0,0,6,3,0.0078125,65,62.5767,65,65,65,16.25,1
500003,0.72994,57.89,0,3600,2,0,2,0,1,0,0,6,3,0.0078125,65,60.6951,65,65,65,13,1
500003,0.72994,59.24,0,3600,10,10,10,0,1,0,0,6,6,0.0078125,65,64.0125,65,65,65,10.8333,1
500003,0.72994,57.84,0,3600,3,3,3,0,1,0,0,6,6,0.0078125,65,64.2926,65,65,65,9.28571,1
500003,0.72994,57.89,0,3600,11,0,11,0,1,0,0,6,3,0.0078125,65,63.1852,65,65,65,8.125,1
500003,0.72994,58.5,0,3600,4,4,4,0,1,0,0,6,6,0.0078125,65,60.4733,65,65,65,7.22222,1
500003,0.72994,57.84,0,3600,12,12,12,0,1,0,0,6,6,0.0078125,65,64.3925,65,65,65,6.5,1
500003,0.72994,59.25,0,3600,5,5,5,0,1,0,0,6,6,0.0078125,65,60.3415,65,65,65,5.90909,1
500003,0.72994,58.48,0,3600,13,13,13,0,1,0,0,6,6,0.0078125,65,61.2232,65,65,65,5.41667,1
500003,0.72994,59.25,0,3600,6,6,6,0,1,0,0,6,6,0.0078125,65,61.7376,65,65,65,5,1
500003,0.72994,58.48,0,3600,14,14,14,0,1,0,0,6,6,0.0078125,65,60.9403,65,65,65,4.64286,1
500003,0.72994,58.48,0,3600,7,7,7,0,1,0,0,6,6,0.0078125,65,60.1094,65,65,65,4.33333,1
500003,0.72994,57.84,0,3600,15,15,15,0,1,0,0,6,6,0.0078125,65,61.9077,65,65,65,4.0625,1
500004,0.72994,58.5,0,3600,0,4,0,1,1,1,0,6,1,0.0078125,65,62.1545,64.2091,64.6046,65,68.8235,1
500004,0.72994,58.49,0,3600,8,8,8,1,1,1,0,6,6,0.0078125,65,62.9136,61.7814,63.3907,65,36.1111,1
500004,0.72994,58.5,0,3600,1,1,1,1,1,1,0,6,6,0.0078125,65,63.8349,63.8848,64.4424,65,25.0877,1
500004,0.72994,57.89,0,3600,9,0,9,1,1,1,0,6,3,0.0078125,65,61.5105,62.5767,63.7884,65,19.5,1
500004,0.72994,57.89,0,3600,2,0,2,1,1,1,0,6,3,0.0078125,65,63.7679,60.6951,62.8475,65,16.0952,1
500004,0.72994,59.24,0,3600,10,10,10,1,1,1,0,6,6,0.0078125,65,63.217,64.0125,64.5063,65,13.7879,1
500004,0.72994,57.84,0,3600,3,3,3,1,1,1,0,6,6,0.0078125,65,60.5139,64.2926,64.6463,65,12.1118,1
500004,0.72994,57.89,0,3600,11,0,11,1,1,1,0,6,3,0.0078125,65,60.7575,63.1852,64.0926,65,10.8333,1
500004,0.72994,58.5,0,3600,4,4,4,1,1,1,0,6,6,0.0078125,65,62.3899,60.4733,62.7366,65,9.82222,1
500004,0.72994,57.84,0,3600,12,12,12,1,1,1,0,6,6,0.0078125,65,60.1116,64.3925,64.6963,65,9,1
500004,0.72994,59.25,0,3600,5,5,5,1,1,1,0,6,6,0.0078125,65,63.2348,60.3415,62.6707,65,8.3165,1
500004,0.72994,58.48,0,3600,13,13,13,1,1,1,0,6,6,0.0078125,65,62.9162,61.2232,63.1116,65,7.7381,1
500004,0.72994,59.25,0,3600,6,6,6,1,1,1,0,6,6,0.0078125,65,60.6239,61.7376,63.3688,65,7.24138,1
500004,0.72994,58.48,0,3600,14,14,14,1,1,1,0,6,6,0.0078125,65,60.8455,60.9403,62.9702,65,6.80952,1
500004,0.72994,58.48,0,3600,7,7,7,1,1,1,0,6,6,0.0078125,65,63.8417,60.1094,62.5547,65,6.43011,1
500004,0.72994,57.84,0,3600,15,15,15,1,1,1,0,6,6,0.0078125,65,61.7709,61.9077,63.4539,65,6.09375,1
